symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason,side
QQQ,strategy10_scalp,2025-12-09,10:30:00,14:44:00,624.01,624.685,32,622.805,0.0,21.6,0.56,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-10,09:56:00,09:59:00,622.49,623.417,32,623.407,0.0,-29.66,-1.011,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-10,14:01:00,14:02:00,624.97,623.723,32,623.733,0.0,-39.9,-1.008,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-11,09:49:00,10:17:00,620.63,622.037,32,622.742,0.0,-45.02,-0.666,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-11,11:10:00,11:41:00,620.41,621.792,32,621.812,0.0,-44.22,-0.986,trail_stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-12,09:40:00,09:44:00,623.31,621.944,32,621.954,0.0,-43.71,-1.007,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-12,10:04:00,12:02:00,620.85,613.886,32,622.106,0.0,222.85,5.545,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-15,09:48:00,10:45:00,614.99,613.128,32,617.358,0.0,59.58,0.786,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-15,13:27:00,14:01:00,610.6,612.588,32,612.578,0.0,-63.62,-1.005,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-16,09:44:00,09:47:00,608.4365,610.24,32,610.23,0.0,-57.71,-1.006,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-16,09:56:00,10:16:00,611.4552,609.38,32,609.39,0.0,-66.41,-1.005,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-17,09:40:00,12:32:00,611.01,605.07,32,613.03,0.0,190.08,2.941,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-18,09:48:00,10:26:00,608.28,610.597,32,610.587,0.0,-74.14,-1.004,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-18,10:37:00,12:06:00,611.89,610.8731,32,609.613,0.0,-32.54,-0.447,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-19,09:39:00,10:25:00,614.09,615.179,32,612.329,0.0,34.85,0.618,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-19,10:28:00,11:48:00,614.74,615.339,32,613.729,0.0,19.17,0.592,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-22,10:15:00,11:16:00,618.91,619.75,32,619.855,0.0,-26.88,-0.889,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-23,11:41:00,15:50:00,620.65,622.05,32,620.022,0.0,44.8,2.229,eod_flat,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-24,10:13:00,13:11:00,622.81,623.337,32,621.947,0.0,16.86,0.611,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-24,13:27:00,15:50:00,623.15,623.254,32,622.317,0.0,3.33,0.125,eod_flat,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-26,09:39:00,09:50:00,625.15,624.684,31,624.694,0.0,-14.45,-1.022,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-26,09:53:00,10:00:00,624.7,624.014,32,624.024,0.0,-21.95,-1.015,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-29,09:54:00,09:58:00,620.81,620.3175,32,620.3275,0.0,-15.76,-1.021,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-30,09:57:00,10:09:00,621.6,620.385,32,620.395,0.0,-38.88,-1.008,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-02,09:37:00,09:39:00,620.35,619.359,32,619.369,0.0,-31.71,-1.01,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-02,09:57:00,10:07:00,621.67,620.579,32,620.589,0.0,-34.91,-1.009,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-06,10:47:00,10:55:00,621.27,620.391,32,620.401,0.0,-28.13,-1.012,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-06,10:57:00,11:04:00,620.46,619.741,32,619.751,0.0,-23.01,-1.014,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-07,09:42:00,11:28:00,624.75,625.2319,32,623.2519,0.0,15.42,0.322,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-07,15:33:00,15:50:00,624.44,624.11,32,623.4732,0.0,-10.56,-0.341,eod_flat,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-08,09:34:00,10:18:00,621.7,620.878,32,623.098,0.0,26.3,0.588,trail_stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-08,10:34:00,11:46:00,620.45,620.338,32,621.308,0.0,3.58,0.131,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-09,09:51:00,09:52:00,621.8,620.838,32,620.848,0.0,-30.78,-1.011,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-09,11:00:00,15:50:00,623.81,627.34,32,622.858,0.0,112.96,3.708,eod_flat,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-12,09:51:00,15:50:00,626.105,627.95,31,624.157,0.0,57.2,0.947,eod_flat,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-13,10:10:00,11:13:00,626.36,626.2885,31,627.4485,0.0,2.22,0.066,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-13,11:52:00,12:16:00,628.7,627.6815,31,627.4815,0.0,-31.57,-0.836,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-14,09:36:00,10:15:00,622.43,620.7975,32,624.2725,0.0,52.24,0.886,trail_stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-14,10:28:00,11:23:00,620.08,617.8975,32,621.1075,0.0,69.84,2.124,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-15,09:52:00,10:35:00,624.89,626.489,32,626.479,0.0,-51.17,-1.006,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-15,10:54:00,12:31:00,624.17,625.271,32,622.561,0.0,35.23,0.684,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-16,10:40:00,11:20:00,619.88,621.685,32,621.675,0.0,-57.76,-1.006,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-20,10:32:00,10:56:00,613.41,612.32,32,612.33,0.0,-34.88,-1.009,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-20,13:40:00,15:50:00,609.8,607.69,32,611.04,0.0,67.52,1.702,eod_flat,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-21,09:53:00,11:32:00,611.61,614.8495,32,609.3395,0.0,103.66,1.427,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-21,14:33:00,15:19:00,615.78,617.6995,32,614.2545,0.0,61.42,1.258,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-22,09:33:00,09:47:00,621.43,619.1544,32,619.1644,0.0,-72.82,-1.004,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-22,10:51:00,11:52:00,619.9,621.6256,32,622.0706,0.0,-55.22,-0.795,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-23,12:46:00,12:51:00,622.84,621.982,32,621.992,0.0,-27.46,-1.012,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-26,09:40:00,13:00:00,624.25,626.275,32,623.165,0.0,64.8,1.866,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-27,09:41:00,12:16:00,628.14,630.841,31,627.061,0.0,83.73,2.503,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-28,10:15:00,10:16:00,634.56,635.4103,31,635.4003,0.0,-26.36,-1.012,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-01-28,11:47:00,14:02:00,632.5,632.5697,31,631.5724,0.0,2.16,0.075,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2026-01-30,11:22:00,13:58:00,623.86,623.58,32,626.74,0.0,8.96,0.097,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-02-02,09:43:00,11:01:00,622.8,625.2442,32,620.8742,0.0,78.21,1.269,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-02-03,09:50:00,10:50:00,624.97,620.423,32,626.943,0.0,145.5,2.305,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-02-03,11:29:00,14:15:00,617.99,613.6629,32,619.643,0.0,138.47,2.618,trail_stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2026-02-04,10:07:00,10:25:00,609.46,612.872,32,612.862,0.0,-109.18,-1.003,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2026-02-04,10:34:00,13:57:00,610.26,604.602,32,613.192,0.0,181.06,1.93,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-02-05,09:34:00,09:35:00,598.74,601.943,33,601.933,0.0,-105.7,-1.003,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2026-02-05,09:44:00,10:00:00,603.54,599.787,33,599.797,0.0,-123.85,-1.003,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-02-06,09:41:00,10:00:00,604.02,602.225,33,602.235,0.0,-59.23,-1.006,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-02-06,11:10:00,15:50:00,605.46,610.0,33,603.805,0.0,149.82,2.743,eod_flat,pdh_break_retest_long,long
